DÉNOMINATION DE LA FORMATION POLITIQUE (1),"LOCALISATION
du siège"
UNION POPULAIRE POUR LA LIBÉRATION DE LA GUADELOUPE (L'),97110
UNION POUR AIX ,13100
UNION POUR CHATILLON (L’) ,92320
UNION POUR LA DÉMOCRATIE ET LA PROSPÉRITÉ (L’),69003
UNION POUR LA DÉMOCRATIE FRANÇAISE (L’) ,75007
UNION POUR LA SAVOIE (L’) ,73000
UNION POUR LA VIIÈME (L’),95160
UNION POUR L’ALBIGEOIS (L’) ,81003
UNION POUR L’AVENIR DE MANTES-LA-JOLIE (L’),78200
UNION POUR L’AVENIR DU PAYS DE PLOERMEL (L’) ,56800
UNION POUR L’AVENIR DU XVIÈME SUD (L’) ,75016
UNION POUR L’AVEYRON (L’) ,12340
UNION POUR LE CHANGEMENT À CERGY (L’),95800
UNION POUR LE PAYS MALOUIN,35400
UNION POUR LE VAL DE MARNE - CHRISTIAN CAMBON (L’) ,94410
UNION POUR LE VAL D’OISE ,95210
UNION POUR L’EUROPE CHRÉTIENNE ,31010
UNION POUR MURET (L’),31600
UNION POUR SAINT SÉBASTIEN SUR LOIRE (L’) ,44230
UNION POUR STRASBOURG (L’) ,67000
UNION POUR UN MOUVEMENT POPULAIRE (L’),75384
UNION POUR WALLIS ET FUTUNA (L’),98600
UNION RÉPUBLICAINE ET D’ACTIONS COMMUNAUTAIRES (L’) ,13008
UNION RÉPUBLICAINE LORRAINE ,57420
UNION DU PEUPLE ALSACIEN (UNSER LAND),68116
VERTS    (LES),75010
VIENNE    AVENIR,86000
VILLAGES DANS LA VILLE (DES),94100
VILLEURBANNE À TOUT CŒUR,69100
VIVE LA RÉPUBLIQUE ,75005
VIVRE À LUISANT,28600
VIVRE À SCHOELCHER,97233
VIVRE ENSEMBLE POUR LE TARN,81500
VIVRE L’UNION ENSEMBLE À SAINT-MANDÉ-VINCENNES-FONTENAY-SOUS-BOIS,94160
VIVRE     MIEUX,93150
VOLONTÉ DE VIVRE ENSEMBLE (LA),68100
WALWARI,97300
