Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Michel Dantin,Député Européen,Les Républicains,Parrainage à François Fillon
Mathieu Darnaud,Sénateur,Les Républicains,N'a parrainé personne
Olivier Dassault,Député,Les Républicains,Parrainage à François Fillon
Serge Dassault,Sénateur,Les Républicains,Parrainage à François Fillon
Rachida Dati,Député Européen,Les Républicains,Parrainage à François Fillon
Marc-Philippe Daubresse,Député,Les Républicains,Parrainage à François Fillon
Yves Daudigny,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Marc Daunis,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Annie David,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Charles de Courson,Député,Nouveau Centre/UDI,Parrainage à François Fillon
Claude de Ganay,Député,Les Républicains,Parrainage à François Fillon
Laure de La Raudière,Député,Les Républicains,Parrainage à François Fillon
Charles de La Verpillière,Député,Les Républicains,Parrainage à François Fillon
Dominique De Legge,Sénateur,Les Républicains,Parrainage à François Fillon
François de Mazieres,Député,Les Républicains,Parrainage à François Fillon
Albéric De Montgolfier,Sénateur,Les Républicains,Parrainage à François Fillon
Louis-Jean De Nicolay,Sénateur,Les Républicains,Parrainage à François Fillon
Henri De Raincourt,Sénateur,Les Républicains,Parrainage à François Fillon
Camille de Rocca Serra,Député,Les Républicains,Parrainage à François Fillon
Marie-France de Rose,Sénateur,Les Républicains,Parrainage à François Fillon
François De Rugy,Député,Union des démocrates et écologistes,Parrainage à Emmanuel Macron
Marielle De Sarnez,Député Européen,Mouvement Démocrate (MoDEM),Parrainage à Emmanuel Macron
Bernard Debré,Député,Les Républicains,Parrainage à François Fillon
Isabelle Debré,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Pierre Decool,Député,Droite Populaire,N'a parrainé personne
Bernard Deflesselles,Député,Les Républicains,Parrainage à François Fillon
Laurent Degallaix,Député,Parti Radical/UDI,N'a parrainé personne
Lucien Degauchy,Député,Les Républicains,Parrainage à François Fillon
Pascal Deguilhem,Député,Parti socialiste,Parrainage à Benoît Hamon
Robert Del Picchia,Sénateur,Les Républicains,Parrainage à François Fillon
Angélique Delahaye,Député Européen,Les Républicains,Parrainage à François Fillon
Vincent Delahaye,Sénateur,Parti Radical/UDI,Parrainage à François Fillon
Rémi Delatte,Député,Les Républicains,Parrainage à François Fillon
Francis Delattre,Sénateur,Les Républicains,Parrainage à Alain Juppé
Florence Delaunay,Député,Parti socialiste,Parrainage à Benoît Hamon
Michèle Delaunay,Député,Parti socialiste,N'a parrainé personne
Guy Delcourt,Député,Parti socialiste,Parrainage à Benoît Hamon
Bernard Delcros,Sénateur,Sans étiquette,Parrainage à Emmanuel Macron
Michel Delebarre,Sénateur,Parti socialiste,N'a parrainé personne
Carole Delga,Député,Parti socialiste,Parrainage à Benoît Hamon
Jacques Dellerie,Député,Parti socialiste,Parrainage à Benoît Hamon
Karima Delli,Député Européen,Europe Écologie Les Verts,Parrainage à Charlotte Marchandise
Pascal Demarthe,Député,Parti socialiste,Parrainage à Emmanuel Macron
Michelle Demessine,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Stéphane Demilly,Député,Nouveau Centre/UDI,N'a parrainé personne
Sébastien Denaja,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Paul Denanot,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Gérard Dériot,Sénateur,Les Républicains,Parrainage à François Fillon
Catherine Deroche,Sénateur,Les Républicains,Parrainage à François Fillon
Jacky Deromedi,Sénateur,Les Républicains,Parrainage à François Fillon
Marie-Hélène Des Esgaulx,Sénateur,Les Républicains,Parrainage à François Fillon
Françoise Descamps-Crosnier,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean Desessard,Sénateur,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Chantal Deseyne,Sénateur,Les Républicains,Parrainage à François Fillon
Félix Desplan,Sénateur,Parti socialiste,N'a parrainé personne
Jean-Louis Destans,Député,Parti socialiste,Parrainage à Emmanuel Macron
