SOLIDARITÉ   ÉCOLOGIE   GAUCHE   ALTERNATIVE,Paris (75011)
SOLIDARITÉ   ET   PROGRÈS ,Clichy-la-Garenne (92110)
SUD-EST TOULOUSAIN POUR TOUS,Toulouse (31500)
TAHOERAA       HUIRAATIRA,Papeete (98713)
TARBES      2008,Tarbes (65000)
TE HONO E TAU I TE HONOAUI ,Papeete (98713)
TE’AVEI’A      ,Mahina (98709)
TOULOUSE    POUR    TOUS,Toulouse (31000)
UNION   CENTRISTE   ET   LIBÉRALE,Saint-Denis-de-la-Réunion (97400)
UNION   DÉMOCRATIQUE   BRETONNE ,Nantes (44000)
UNION DES CONTRIBUABLES DE FRANCE ,Saint-Paterne-Racan (37370)
UNION DES CONTRIBUABLES D’EUROPE ,Le Plessis-Robinson (92350)
UNION DES SOCIALISTES POUR MIDI-PYRÉNÉES ,Toulouse (31400)
UNION DES VICTIMES DE L’ÉTAT,Paris (75003)
UNION DU PEUPLE ALSACIEN ,Guewenheim (68116)
UNION    ET    DÉMOCRATIE,Auriol (13390)
UNION ET RASSEMBLEMENT MAJORITÉ RÉGIONALE RHÔNE-ALPES,Belley (01300)
UNION FRANÇAISE POUR LA COHÉSION NATIONALE ,Nancy (54000)
UNION       GAULLISTE,Montrouge  (92120)
UNION POPULAIRE POUR LA LIBÉRATION DE LA GUADELOUPE ,Pointe-à-Pitre (97110)
UNION POUR AIX,Aix-en-Provence (13100)
UNION POUR CHÂTILLON ,Châtillon (92320)
UNION POUR LA DÉMOCRATIE FRANÇAISE,Paris (75007)
UNION POUR LA SAVOIE ,Chambéry (73000)
UNION POUR LA VIIe,Montmorency  (95160)
UNION POUR L’ALBIGEOIS ,Albi (81000)
UNION POUR L’AVENIR DE MANTES-LA-JOLIE ,Mantes-la-Jolie  (78200)
UNION POUR L’AVENIR DU PAYS DE PLOËRMEL ,Ploërmel (56800)
UNION POUR L’AVENIR DU XVIe  SUD,Paris (75016)
UNION POUR LE PAYS MALOUIN ,Saint-Malo (35400)
UNION POUR LE VAL-DE-MARNE - CHRISTIAN CAMBON ,Saint-Maurice (94410)
UNION POUR LE VAL-D’OISE,Saint-Gratien (95210)
UNION POUR L’EUROPE CHRÉTIENNE ,Toulouse (31010)
UNION POUR MURET ,Muret (31600)
UNION POUR NICE ,Nice (06300)
UNION   POUR   SAINT-SÉBASTIEN-SUR-LOIRE ,Saint-Sébastien-sur-Loire  (44230)
UNION    POUR    STRASBOURG,Strasbourg (67000)
UNION POUR UN MOUVEMENT POPULAIRE (EX-UNION POUR LA MAJORITÉ PRÉSIDENTIELLE),Paris (75384)
UNION RÉPUBLICAINE ET D’ACTIONS COMMUNAUTAIRES,Marseille (13008)
UNION   RÉPUBLICAINE   LORRAINE ,Saint-Jure (57420)
UNIR POUR LYON AVEC LES ÉQUIPES DE CHARLES MILLON,Lyon (69002)
VIENNE      AVENIR,Poitiers (86000)
VITRY     RENOUVEAU ,Vitry (94400)
VIVE   LA   RÉPUBLIQUE ,Paris (75005)
VIVRE À LUISANT,Luisant (28600)
VIVRE   À   SCHŒLCHER ,Schœlcher (97276)
VIVRE L’UNION ENSEMBLE À SAINT-MANDÉ - VINCENNES - FONTENAY-SOUS-BOIS ,Saint-Mandé (94160)
VIVRE       MIEUX,Le Blanc-Mesnil (93150)
