Titre,Circonscription,Groupe parlementaire,Parti politique d'adhésion,Type de déclaration,Format de la déclaration,Date de déclaration,Date de publication,Différentiel en jours
Laurent Grandguillaume,Côte-d'Or (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,06/07/16,26/01/17,204
Frédéric Roig,Hérault (4),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,13/07/16,26/01/17,197
Jean-Pierre Gorges,Eure-et-Loir (1),Les Républicains,Les Républicains,Modification,Papier,15/07/16,26/01/17,195
Frédéric Lefebvre,Français établis hors de France (01),Les Républicains,Les Républicains,Modification,Papier,17/08/16,26/01/17,162
Christophe Bouillon,Seine-Maritime (05),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,25/08/16,26/01/17,154
Jean-Claude Guibal,Alpes-Maritimes (4),Les Républicains,Les Républicains,Modification,Papier,29/08/16,26/01/17,150
Jean-Pierre Dufau,Landes (2),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,07/09/16,26/01/17,141
Aurélie Filippetti,Moselle (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,19/09/16,26/01/17,129
Pascal Thévenot,Yvelines (02),Les Républicains,Les Républicains,Modification,Papier,20/09/16,26/01/17,128
Olivier Faure,Seine-et-Marne (11),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,28/09/16,26/01/17,120
Stéphanie Pernod Beaudon,Ain (3),Les Républicains,Les Républicains,Modification,Papier,28/09/16,26/01/17,120
Isabelle Attard,Calvados (5),Non-inscrit,Sans étiquette,Modification,Papier,06/10/16,26/01/17,112
Bernard Debré,Paris (04),Les Républicains,Les Républicains,Modification,Papier,06/10/16,26/01/17,112
Jean-Paul Tuaiva,Polynésie Française (3),Union des Démocrates Indépendants,UDI,Modification,Papier,12/10/16,26/01/17,106
Christophe Cavard,Gard (6),Socialiste Ecologiste et Républicain,Union des Démocrates et des Ecologistes,Modification,Numérique,02/11/16,26/01/17,85
Marie-Thérèse Le Roy,Finistère (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification, ,18/11/16,26/01/17,69
Jean-Luc Bleunven,Finistère (3),Socialiste Ecologiste et Républicain,Divers gauche,Modification,Numérique,26/11/16,26/01/17,61
Georges Ginesta,Var (5),Les Républicains,Les Républicains,Modification,Numérique,30/11/16,06/02/17,68
Damien Meslot,Territoire de Belfort (1),Les Républicains,Les Républicains,Modification,Numérique,09/12/16,06/02/17,59
Pascale Got,Gironde (05),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,11/12/16,06/02/17,57
Jacqueline Maquet,Pas-de-Calais (02),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,12/12/16,06/02/17,56
Catherine Troallic,Seine-Maritime (08),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,13/12/16,06/02/17,55
Nicolas Sansu,Cher (2),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Numérique,17/12/16,06/02/17,51
Françoise Guégot,Seine-Maritime (02),Les Républicains,Les Républicains,Modification,Papier,18/12/16,06/02/17,50
Hervé Mariton,Drôme (3),Les Républicains,Les Républicains,Modification,Numérique,18/12/16,06/02/17,50
