Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion,
Sylvie Robert,Ille-et-Vilaine,Sénateur,Parti socialiste,
Gérard Roche,Haute-Loire,Sénateur,Nouveau Centre/UDI,
Gilbert Roger,Seine-Saint-Denis,Sénateur,Parti socialiste,
Yves Rome,Oise,Sénateur,Parti socialiste,
Jean-Yves Roux,Alpes de Haute-Provence,Sénateur,Parti socialiste,
Bernard Saugey,Isère,Sénateur,Les Républicains,
René-Paul Savary,Marne,Sénateur,Les Républicains,
Michel Savin,Isère,Sénateur,Les Républicains,
Patricia Schillinger,Haut-Rhin,Sénateur,Parti socialiste,
Bruno Sido,Haute-Marne,Sénateur,Les Républicains,
Abdourahamane Soilihi,Mayotte,Sénateur,Les Républicains,
Jean-Pierre Sueur,Loiret,Sénateur,Parti socialiste,
Simon Sutour,Gard,Sénateur,Parti socialiste,
Henri Tandonnet,Lot-et-Garonne,Sénateur,UDI,
Catherine Tasca,Yvelines,Sénateur,Parti socialiste,
Lana Tetuanui,Polynésie Française,Sénateur,Tapura Huiraatira/UDI,
Nelly Tocqueville,Seine-Maritime,Sénateur,Parti socialiste,
Jean-Louis Tourenne,Ille-et-Vilaine,Sénateur,Parti socialiste,
André Trillard,Loire-Atlantique,Sénateur,Les Républicains,
Catherine Troendlé,Haut-Rhin,Sénateur,Les Républicains,
Alex Türk,Nord,Sénateur,Sans étiquette,
Raymond Vall,Gers,Sénateur,Parti Radical de Gauche,
René Vandierendonck,Nord,Sénateur,Parti socialiste,
Jean-Marie Vanlerenberghe,Pas-de-Calais,Sénateur,Mouvement Démocrate (MoDEM),
Michel Vaspart,Côtes-d'Armor,Sénateur,Les Républicains,
Alain Vasselle,Oise,Sénateur,Les Républicains,
Yannick Vaugrenard,Loire-Atlantique,Sénateur,Parti socialiste,
Hilarion Vendegou,Nouvelle-Calédonie,Sénateur,Rassemblement - Les Républicains,
Bernard Vera,Essonne,Sénateur,Parti Communiste Français,
Paul Vergès,La Réunion,Sénateur,Parti Communiste Français,
Michel Vergoz,La Réunion,Sénateur,Parti socialiste,
Jean-Pierre Vial,Savoie,Sénateur,Les Républicains,
Maurice Vincent,Loire,Sénateur,Parti socialiste,
Jean Pierre Vogel,Sarthe,Sénateur,Les Républicains,
Dominique Watrin,Pas-de-Calais,Sénateur,Parti Communiste Français,
Évelyne Yonnet,Seine-Saint-Denis,Sénateur,Parti socialiste,
Richard Yung,Français établis hors de France,Sénateur,Parti socialiste,
François Zocchetto,Mayenne,Sénateur,UDI,
